Iteration,Solver,Objective,Violations
0,Hill Climbing,25,8474
1,Hill Climbing,25,8361
2,Hill Climbing,25,8244
3,Hill Climbing,25,8123
4,Hill Climbing,25,8002
5,Hill Climbing,25,7884
6,Hill Climbing,25,7758
7,Hill Climbing,25,7640
8,Hill Climbing,25,7512
9,Hill Climbing,25,7398
10,Hill Climbing,25,7283
11,Hill Climbing,26,7172
12,Hill Climbing,26,7059
13,Hill Climbing,26,6938
14,Hill Climbing,26,6822
15,Hill Climbing,27,6699
16,Hill Climbing,27,6577
17,Hill Climbing,27,6467
18,Hill Climbing,27,6363
19,Hill Climbing,27,6253
20,Hill Climbing,27,6136
21,Hill Climbing,27,6012
22,Hill Climbing,27,5908
23,Hill Climbing,27,5794
24,Hill Climbing,26,5675
25,Hill Climbing,26,5577
26,Hill Climbing,25,5463
27,Hill Climbing,25,5347
28,Hill Climbing,26,5235
29,Hill Climbing,26,5131
30,Hill Climbing,26,5039
31,Hill Climbing,26,4934
32,Hill Climbing,26,4820
33,Hill Climbing,26,4701
34,Hill Climbing,26,4580
35,Hill Climbing,26,4499
36,Hill Climbing,26,4380
37,Hill Climbing,27,4271
38,Hill Climbing,27,4188
39,Hill Climbing,27,4097
40,Hill Climbing,27,3985
41,Hill Climbing,27,3904
42,Hill Climbing,27,3824
43,Hill Climbing,27,3711
44,Hill Climbing,27,3597
45,Hill Climbing,27,3488
46,Hill Climbing,27,3388
47,Hill Climbing,27,3300
48,Hill Climbing,27,3224
49,Hill Climbing,27,3159
50,Hill Climbing,27,3070
51,Hill Climbing,27,2980
52,Hill Climbing,27,2901
53,Hill Climbing,27,2843
54,Hill Climbing,27,2789
55,Hill Climbing,27,2739
56,Hill Climbing,27,2656
57,Hill Climbing,27,2600
58,Hill Climbing,27,2523
59,Hill Climbing,27,2442
60,Hill Climbing,27,2368
61,Hill Climbing,27,2311
62,Hill Climbing,28,2241
63,Hill Climbing,28,2171
64,Hill Climbing,28,2114
65,Hill Climbing,27,2058
66,Hill Climbing,27,2005
67,Hill Climbing,27,1952
68,Hill Climbing,27,1891
69,Hill Climbing,27,1840
70,Hill Climbing,27,1785
71,Hill Climbing,28,1730
72,Hill Climbing,28,1675
73,Hill Climbing,28,1621
74,Hill Climbing,28,1571
75,Hill Climbing,28,1519
76,Hill Climbing,28,1465
77,Hill Climbing,28,1412
78,Hill Climbing,28,1360
79,Hill Climbing,28,1305
80,Hill Climbing,28,1255
81,Hill Climbing,28,1205
82,Hill Climbing,28,1144
83,Hill Climbing,28,1093
84,Hill Climbing,28,1045
85,Hill Climbing,28,1001
86,Hill Climbing,28,953
87,Hill Climbing,28,900
88,Hill Climbing,28,855
89,Hill Climbing,29,807
90,Hill Climbing,29,763
91,Hill Climbing,30,719
92,Hill Climbing,30,673
93,Hill Climbing,30,623
94,Hill Climbing,30,575
95,Hill Climbing,30,533
96,Hill Climbing,30,495
97,Hill Climbing,29,448
98,Hill Climbing,29,406
99,Hill Climbing,29,361
100,Hill Climbing,29,322
101,Hill Climbing,30,280
102,Hill Climbing,30,261
103,Hill Climbing,30,246
104,Hill Climbing,30,200
105,Hill Climbing,30,161
106,Hill Climbing,30,126
107,Hill Climbing,30,89
108,Hill Climbing,30,78
109,Hill Climbing,30,72
110,Hill Climbing,30,62
111,Hill Climbing,30,46
112,Hill Climbing,30,37
113,Hill Climbing,30,31
114,Hill Climbing,30,25
115,Hill Climbing,30,19
116,Hill Climbing,30,14
117,Hill Climbing,30,11
118,Hill Climbing,30,7
119,Hill Climbing,30,4
120,Hill Climbing,30,3
121,Hill Climbing,30,2
122,Hill Climbing,30,0
123,Hill Climbing,30,0
124,Hill Climbing,30,0
125,Hill Climbing,29,0
126,Hill Climbing,29,0
127,Hill Climbing,29,0
128,Hill Climbing,29,0
129,Hill Climbing,28,0
130,Hill Climbing,28,0
131,Hill Climbing,28,0
132,Hill Climbing,28,0
133,Hill Climbing,28,0
134,Hill Climbing,27,0
135,Hill Climbing,27,0
136,Hill Climbing,27,0
137,Hill Climbing,27,0
138,Hill Climbing,27,0
139,Hill Climbing,27,0
140,Hill Climbing,27,0
141,Hill Climbing,26,0
142,Hill Climbing,26,0
143,Hill Climbing,26,0
144,Hill Climbing,26,0
145,Hill Climbing,26,0
146,Hill Climbing,26,0
147,Hill Climbing,26,0
148,Hill Climbing,26,0
149,Hill Climbing,26,0
150,Hill Climbing,26,0
151,Hill Climbing,26,0
152,Hill Climbing,26,0
153,Hill Climbing,26,0
154,Hill Climbing,25,0
155,Hill Climbing,25,0
156,Hill Climbing,25,0
157,Hill Climbing,25,0
158,Hill Climbing,25,0
159,Hill Climbing,25,0
160,Hill Climbing,25,0
161,Hill Climbing,25,0
162,Hill Climbing,25,0
163,Hill Climbing,25,0
164,Hill Climbing,25,0
165,Hill Climbing,25,0
166,Hill Climbing,25,0
167,Hill Climbing,25,0
168,Hill Climbing,25,0
169,Hill Climbing,25,0
170,Hill Climbing,25,0
171,Hill Climbing,25,0
172,Hill Climbing,25,0
173,Hill Climbing,25,0
174,Hill Climbing,25,0
175,Hill Climbing,25,0
176,Hill Climbing,25,0
177,Hill Climbing,25,0
178,Hill Climbing,25,0
179,Hill Climbing,25,0
180,Hill Climbing,24,0
181,Hill Climbing,24,0
182,Hill Climbing,24,0
183,Hill Climbing,24,0
184,Hill Climbing,24,0
185,Hill Climbing,24,0
186,Hill Climbing,24,0
187,Hill Climbing,24,0
188,Hill Climbing,24,0
189,Hill Climbing,24,0
190,Hill Climbing,24,0
191,Hill Climbing,24,0
192,Hill Climbing,24,0
193,Hill Climbing,24,0
194,Hill Climbing,24,0
195,Hill Climbing,24,0
196,Hill Climbing,24,0
197,Hill Climbing,24,0
198,Hill Climbing,24,0
199,Hill Climbing,24,0
200,Hill Climbing,24,0
201,Hill Climbing,24,0
202,Hill Climbing,24,0
203,Hill Climbing,24,0
204,Hill Climbing,24,0
205,Hill Climbing,24,0
206,Hill Climbing,24,0
207,Hill Climbing,24,0
208,Hill Climbing,24,0
209,Hill Climbing,24,0
210,Hill Climbing,24,0
211,Hill Climbing,24,0
212,Hill Climbing,24,0
213,Hill Climbing,24,0
214,Hill Climbing,24,0
215,Hill Climbing,24,0
216,Hill Climbing,24,0
217,Hill Climbing,23,0
218,Hill Climbing,23,0
219,Hill Climbing,23,0
220,Hill Climbing,23,0
221,Hill Climbing,23,0
222,Hill Climbing,23,0
223,Hill Climbing,23,0
224,Hill Climbing,23,0
225,Hill Climbing,23,0
226,Hill Climbing,23,0
227,Hill Climbing,23,0
228,Hill Climbing,23,0
229,Hill Climbing,23,0
230,Hill Climbing,23,0
231,Hill Climbing,23,0
232,Hill Climbing,23,0
233,Hill Climbing,23,0
234,Hill Climbing,23,0
235,Hill Climbing,23,0
236,Hill Climbing,23,0
237,Hill Climbing,23,0
238,Hill Climbing,23,0
239,Hill Climbing,23,0
240,Hill Climbing,23,0
241,Hill Climbing,23,0
242,Hill Climbing,23,0
243,Hill Climbing,23,0
244,Hill Climbing,23,0
245,Hill Climbing,23,0
246,Hill Climbing,23,0
247,Hill Climbing,23,0
248,Hill Climbing,23,0
249,Hill Climbing,23,0
250,Hill Climbing,23,0
251,Hill Climbing,23,0
252,Hill Climbing,23,0
253,Hill Climbing,23,0
254,Hill Climbing,23,0
255,Hill Climbing,23,0
256,Hill Climbing,23,0
257,Hill Climbing,23,0
258,Hill Climbing,23,0
259,Hill Climbing,23,0
260,Hill Climbing,23,0
261,Hill Climbing,23,0
262,Hill Climbing,23,0
263,Hill Climbing,23,0
264,Hill Climbing,22,0
265,Hill Climbing,22,0
266,Hill Climbing,22,0
267,Hill Climbing,22,0
268,Hill Climbing,22,0
269,Hill Climbing,22,0
270,Hill Climbing,22,0
271,Hill Climbing,22,0
272,Hill Climbing,22,0
273,Hill Climbing,22,0
274,Hill Climbing,22,0
275,Hill Climbing,22,0
276,Hill Climbing,22,0
277,Hill Climbing,22,0
278,Hill Climbing,22,0
