Tenure,Iteration,Objective,Violations,Feasible
5,0,5,0,True
5,1,5,0,True
5,2,5,0,True
5,3,5,0,True
5,4,5,0,True
5,5,5,0,True
5,6,4,0,True
5,7,4,0,True
5,8,4,0,True
5,9,4,0,True
5,10,4,0,True
5,11,4,0,True
5,12,4,0,True
5,13,4,0,True
5,14,4,0,True
5,15,4,0,True
5,16,4,0,True
5,17,4,0,True
5,18,4,0,True
5,19,4,0,True
5,20,4,0,True
5,21,4,0,True
5,22,4,0,True
5,23,4,0,True
5,24,4,0,True
5,25,4,0,True
5,26,4,0,True
5,27,4,0,True
5,28,4,0,True
5,29,4,0,True
5,30,4,0,True
5,31,4,0,True
5,32,4,0,True
5,33,4,0,True
5,34,4,0,True
5,35,4,0,True
5,36,4,0,True
5,37,4,0,True
5,38,4,0,True
5,39,4,0,True
5,40,4,0,True
5,41,4,0,True
5,42,4,0,True
5,43,4,0,True
5,44,4,0,True
5,45,4,0,True
5,46,4,0,True
5,47,4,0,True
5,48,4,0,True
5,49,4,0,True
5,50,4,0,True
5,51,4,0,True
5,52,4,0,True
5,53,4,0,True
5,54,4,0,True
5,55,4,0,True
5,56,4,0,True
5,57,4,0,True
5,58,4,0,True
5,59,4,0,True
5,60,3,0,True
10,0,5,0,True
10,1,5,0,True
10,2,5,0,True
10,3,5,0,True
10,4,5,0,True
10,5,5,0,True
10,6,4,0,True
10,7,4,0,True
10,8,4,0,True
10,9,4,0,True
10,10,4,0,True
10,11,4,0,True
10,12,4,0,True
10,13,4,0,True
10,14,4,0,True
10,15,4,0,True
10,16,4,0,True
10,17,4,0,True
10,18,4,0,True
10,19,4,0,True
10,20,4,0,True
10,21,4,0,True
10,22,4,0,True
10,23,4,0,True
10,24,4,0,True
10,25,4,0,True
10,26,4,0,True
10,27,4,0,True
10,28,4,0,True
10,29,4,0,True
10,30,4,0,True
10,31,4,0,True
10,32,4,0,True
10,33,4,0,True
10,34,4,0,True
10,35,4,0,True
10,36,4,0,True
10,37,4,0,True
10,38,4,0,True
10,39,4,0,True
10,40,4,0,True
10,41,4,0,True
10,42,4,0,True
10,43,4,0,True
10,44,4,0,True
10,45,4,0,True
10,46,4,0,True
10,47,4,0,True
10,48,4,0,True
10,49,4,0,True
10,50,4,0,True
10,51,4,0,True
10,52,4,0,True
10,53,4,0,True
10,54,4,0,True
10,55,4,0,True
10,56,4,0,True
10,57,4,0,True
10,58,4,0,True
10,59,4,0,True
10,60,3,0,True
25,0,5,0,True
25,1,5,0,True
25,2,5,0,True
25,3,5,0,True
25,4,5,0,True
25,5,5,0,True
25,6,4,0,True
25,7,4,0,True
25,8,4,0,True
25,9,4,0,True
25,10,4,0,True
25,11,4,0,True
25,12,4,0,True
25,13,4,0,True
25,14,4,0,True
25,15,4,0,True
25,16,4,0,True
25,17,4,0,True
25,18,4,0,True
25,19,4,0,True
25,20,4,0,True
25,21,4,0,True
25,22,4,0,True
25,23,4,0,True
25,24,4,0,True
25,25,4,0,True
25,26,4,0,True
25,27,4,0,True
25,28,4,0,True
25,29,4,0,True
25,30,4,0,True
25,31,4,0,True
25,32,4,0,True
25,33,4,0,True
25,34,4,0,True
25,35,4,0,True
25,36,4,0,True
25,37,4,0,True
25,38,4,0,True
25,39,4,0,True
25,40,4,0,True
25,41,4,0,True
25,42,4,0,True
25,43,4,0,True
25,44,4,0,True
25,45,4,0,True
25,46,4,0,True
25,47,4,0,True
25,48,4,0,True
25,49,4,0,True
25,50,4,0,True
25,51,4,0,True
25,52,4,0,True
25,53,4,0,True
25,54,4,0,True
25,55,4,0,True
25,56,4,0,True
25,57,4,0,True
25,58,4,0,True
25,59,4,0,True
25,60,3,0,True
30,0,5,0,True
30,1,5,0,True
30,2,5,0,True
30,3,5,0,True
30,4,5,0,True
30,5,5,0,True
30,6,4,0,True
30,7,4,0,True
30,8,4,0,True
30,9,4,0,True
30,10,4,0,True
30,11,4,0,True
30,12,4,0,True
30,13,4,0,True
30,14,4,0,True
30,15,4,0,True
30,16,4,0,True
30,17,4,0,True
30,18,4,0,True
30,19,4,0,True
30,20,4,0,True
30,21,4,0,True
30,22,4,0,True
30,23,4,0,True
30,24,4,0,True
30,25,4,0,True
30,26,4,0,True
30,27,4,0,True
30,28,4,0,True
30,29,4,0,True
30,30,4,0,True
30,31,4,0,True
30,32,4,0,True
30,33,4,0,True
30,34,4,0,True
30,35,4,0,True
30,36,4,0,True
30,37,4,0,True
30,38,4,0,True
30,39,4,0,True
30,40,4,0,True
30,41,4,0,True
30,42,4,0,True
30,43,4,0,True
30,44,4,0,True
