Iteration,Solver,Objective,Violations
0,Hill Climbing,29,4793
1,Hill Climbing,28,4717
2,Hill Climbing,27,4648
3,Hill Climbing,26,4569
4,Hill Climbing,26,4499
5,Hill Climbing,25,4425
6,Hill Climbing,25,4357
7,Hill Climbing,25,4285
8,Hill Climbing,25,4210
9,Hill Climbing,26,4135
10,Hill Climbing,27,4057
11,Hill Climbing,27,3987
12,Hill Climbing,27,3911
13,Hill Climbing,27,3839
14,Hill Climbing,27,3764
15,Hill Climbing,27,3693
16,Hill Climbing,27,3620
17,Hill Climbing,27,3546
18,Hill Climbing,27,3472
19,Hill Climbing,26,3408
20,Hill Climbing,25,3354
21,Hill Climbing,25,3304
22,Hill Climbing,24,3231
23,Hill Climbing,24,3171
24,Hill Climbing,23,3100
25,Hill Climbing,24,3036
26,Hill Climbing,25,2963
27,Hill Climbing,26,2914
28,Hill Climbing,26,2847
29,Hill Climbing,26,2776
30,Hill Climbing,26,2704
31,Hill Climbing,26,2643
32,Hill Climbing,26,2578
33,Hill Climbing,25,2527
34,Hill Climbing,25,2483
35,Hill Climbing,25,2414
36,Hill Climbing,25,2383
37,Hill Climbing,25,2331
38,Hill Climbing,25,2266
39,Hill Climbing,24,2225
40,Hill Climbing,24,2187
41,Hill Climbing,24,2167
42,Hill Climbing,23,2129
43,Hill Climbing,24,2096
44,Hill Climbing,24,2057
45,Hill Climbing,24,2025
46,Hill Climbing,24,1989
47,Hill Climbing,24,1948
48,Hill Climbing,24,1927
49,Hill Climbing,24,1874
50,Hill Climbing,24,1852
51,Hill Climbing,24,1812
52,Hill Climbing,24,1795
53,Hill Climbing,24,1764
54,Hill Climbing,24,1725
55,Hill Climbing,24,1696
56,Hill Climbing,24,1672
57,Hill Climbing,24,1627
58,Hill Climbing,24,1600
59,Hill Climbing,24,1581
60,Hill Climbing,24,1548
61,Hill Climbing,24,1519
62,Hill Climbing,23,1492
63,Hill Climbing,24,1475
64,Hill Climbing,24,1450
65,Hill Climbing,24,1414
66,Hill Climbing,24,1400
67,Hill Climbing,23,1362
68,Hill Climbing,24,1336
69,Hill Climbing,24,1313
70,Hill Climbing,24,1284
71,Hill Climbing,24,1262
72,Hill Climbing,24,1249
73,Hill Climbing,24,1239
74,Hill Climbing,24,1226
75,Hill Climbing,24,1204
76,Hill Climbing,24,1194
77,Hill Climbing,24,1184
78,Hill Climbing,24,1169
79,Hill Climbing,24,1156
80,Hill Climbing,24,1138
81,Hill Climbing,24,1118
82,Hill Climbing,24,1097
83,Hill Climbing,24,1077
84,Hill Climbing,24,1067
85,Hill Climbing,24,1044
86,Hill Climbing,24,1032
87,Hill Climbing,24,1022
88,Hill Climbing,24,1011
89,Hill Climbing,24,989
90,Hill Climbing,24,967
91,Hill Climbing,24,948
92,Hill Climbing,24,947
93,Hill Climbing,24,938
94,Hill Climbing,24,923
95,Hill Climbing,24,913
96,Hill Climbing,24,905
97,Hill Climbing,23,891
98,Hill Climbing,24,885
99,Hill Climbing,24,868
100,Hill Climbing,24,866
101,Hill Climbing,24,851
102,Hill Climbing,24,841
103,Hill Climbing,25,827
104,Hill Climbing,25,815
105,Hill Climbing,26,805
106,Hill Climbing,27,790
107,Hill Climbing,27,779
108,Hill Climbing,26,763
109,Hill Climbing,26,759
110,Hill Climbing,26,746
111,Hill Climbing,27,735
112,Hill Climbing,27,714
113,Hill Climbing,27,706
114,Hill Climbing,27,693
115,Hill Climbing,27,688
116,Hill Climbing,27,674
117,Hill Climbing,27,667
118,Hill Climbing,27,659
119,Hill Climbing,28,646
120,Hill Climbing,29,637
121,Hill Climbing,29,626
122,Hill Climbing,29,618
123,Hill Climbing,29,609
124,Hill Climbing,29,598
125,Hill Climbing,29,590
126,Hill Climbing,28,573
127,Hill Climbing,28,568
128,Hill Climbing,28,565
129,Hill Climbing,28,562
130,Hill Climbing,28,550
131,Hill Climbing,28,540
132,Hill Climbing,28,529
133,Hill Climbing,28,525
134,Hill Climbing,28,522
135,Hill Climbing,28,514
136,Hill Climbing,28,511
137,Hill Climbing,28,501
138,Hill Climbing,28,500
139,Hill Climbing,28,494
140,Hill Climbing,28,486
141,Hill Climbing,28,475
142,Hill Climbing,28,469
143,Hill Climbing,28,460
144,Hill Climbing,28,452
145,Hill Climbing,28,449
146,Hill Climbing,28,443
147,Hill Climbing,28,441
148,Hill Climbing,28,437
149,Hill Climbing,28,435
150,Hill Climbing,28,434
151,Hill Climbing,29,424
152,Hill Climbing,29,421
153,Hill Climbing,29,411
154,Hill Climbing,29,405
155,Hill Climbing,29,396
156,Hill Climbing,29,395
157,Hill Climbing,29,390
158,Hill Climbing,29,389
159,Hill Climbing,29,387
160,Hill Climbing,29,383
161,Hill Climbing,29,381
162,Hill Climbing,29,375
163,Hill Climbing,29,373
164,Hill Climbing,29,365
165,Hill Climbing,29,365
166,Hill Climbing,29,364
167,Hill Climbing,29,361
168,Hill Climbing,29,355
169,Hill Climbing,29,349
170,Hill Climbing,30,341
171,Hill Climbing,30,336
172,Hill Climbing,30,335
173,Hill Climbing,30,335
174,Hill Climbing,30,334
175,Hill Climbing,30,330
176,Hill Climbing,30,329
177,Hill Climbing,30,328
178,Hill Climbing,30,328
179,Hill Climbing,30,324
180,Hill Climbing,30,323
181,Hill Climbing,30,319
182,Hill Climbing,30,315
183,Hill Climbing,30,313
184,Hill Climbing,30,312
185,Hill Climbing,30,312
186,Hill Climbing,30,309
187,Hill Climbing,30,308
188,Hill Climbing,30,307
189,Hill Climbing,30,307
190,Hill Climbing,30,306
191,Hill Climbing,30,305
192,Hill Climbing,30,303
193,Hill Climbing,30,302
194,Hill Climbing,30,300
195,Hill Climbing,30,294
196,Hill Climbing,30,290
197,Hill Climbing,30,290
198,Hill Climbing,30,290
199,Hill Climbing,30,289
200,Hill Climbing,30,288
201,Hill Climbing,30,287
202,Hill Climbing,30,287
203,Hill Climbing,30,286
204,Hill Climbing,30,285
205,Hill Climbing,30,284
206,Hill Climbing,30,284
207,Hill Climbing,30,283
208,Hill Climbing,30,281
209,Hill Climbing,30,280
210,Hill Climbing,30,280
211,Hill Climbing,30,279
212,Hill Climbing,30,274
213,Hill Climbing,29,274
214,Hill Climbing,29,272
